hidden,-8.83544799109e+16,9.86355826647e+15
admirable,7.5350706808e+16,-1.28005851976e+16
easier,-7.52542330623e+16,7.81435421638e+16
hghar,-1.22742468654e+16,-4.18969594286e+16
commemorate,7.09500943596e+17,-2.23885565416e+17
educating,2.75051337334e+16,-7.58138559721e+16
interrupt,1.72524107591e+17,-1.14842102212e+17
blink,-3.04457016285e+17,-3.83559679421e+16
silver,1.18562754115e+17,-2.99518654403e+16
structural,5.33416708413e+15,-1.91601629717e+16
represents,-5.50150331604e+15,-3.5126255423e+16
jaehaerys,9.2419762446e+17,4.47255932453e+17
theons,1.5929091586e+16,-3.84983325503e+16
arrow,-7.57503034973e+15,-2.70056620729e+16
armourer,-4.52417091876e+15,-1.09737037023e+15
burial,1.23525060593e+16,-3.88405308765e+16
whim,1.91566348265e+17,-1.7045630872e+17
financial,2.99227006789e+16,-2.90451928128e+16
spider,-4.31043109397e+17,-5.6447990403e+17
longclaw,3.27348436737e+16,1.09660702527e+16
turnip,2.89466449274e+17,3.56402252853e+17
fortnight,2.43198952431e+16,-2.36257379909e+16
mutineer,1.414415056e+16,-1.98572793101e+16
wyllis,-1.64615848916e+17,1.55940505545e+17
message,7.65334096244e+16,-3.25618153688e+16
whip,6.26388528355e+15,-1.94224177042e+16
misfortune,1.47985423559e+17,-2.89303490179e+16
whoosh,1.36455422833e+16,1.90045110227e+16
mason,1.31442762969e+17,-1.00715673466e+17
rd,6.68410105681e+17,-7.261132558e+16
archmaester,1.04883073958e+17,-1.97757456385e+16
ro,3.23251949745e+16,-2.09696059254e+16
outburst,4.84754428114e+15,-1.34879759452e+16
foundation,-2.92857487111e+17,8.63273609718e+16
assured,-7.04798778052e+16,3.18796110681e+16
waddle,3.26367897395e+16,-2.7633613695e+16
threatened,3.30363748897e+16,-2.86326233583e+15
assures,2.60542103693e+17,-1.8695093181e+17
aggar,-2.83674153262e+16,2.19396344416e+16
crowned,4.94818687951e+16,-4.8999658572e+16
tobho,2.00089368291e+17,-6.91737920289e+15
ate,2.04556277551e+16,-4.43105191642e+17
ath,7.22191776724e+16,-9.44014013664e+16
shipped,4.15009643038e+16,-3.07828679118e+16
disturbed,6.53360423333e+16,1.53020264591e+17
tempting,4.43352471713e+16,9.54685304976e+15
minge,5.52971833915e+16,-5.8711304694e+15
subtlety,-2.94960906121e+16,8.8185113479e+15
wash,3.38278492213e+16,-8.92987749279e+15
instruct,1.50681617208e+17,-9.63861796763e+15
bitten,9.01401568639e+16,-2.18145274468e+16
zala,1.6010000154e+17,2.04752911971e+16
whorehouse,-4.72765636871e+17,-7.29397683562e+16
timid,3.86811008998e+16,-3.00999140813e+16
engagement,-7.83305456313e+17,4.47744301564e+17
needed,9.01426572651e+16,-2.38449193078e+17
master,2.0860614546e+16,-3.88505851118e+15
bitter,7.87811735269e+15,-7.88645616613e+15
ranging,7.50741856646e+16,-3.88697874654e+16
listen,5.35340871276e+16,-1.3159956846e+16
lorch,1.7411660183e+16,-2.60229885926e+16
collapse,3.67542877973e+16,-1.24432740827e+17
hows,8.95236550628e+16,9.03233292314e+15
highgarden,5.39378091315e+16,-1.00710914965e+16
wisdom,1.23644719821e+17,-2.03075966713e+16
predictable,7.78032722653e+17,-1.48455700118e+17
crawl,-1.09059066899e+17,-5.75264148377e+16
positively,4.55010412435e+16,-6.44368382002e+16
showed,-2.46412678315e+16,-3.01695469744e+16
coward,2.79585573434e+15,-7.81111239894e+16
